TERMINALID,MONTH1,YEAR1,AirlineAmount,MobileAmount,ICCDMRAMT,YBLDMR,NEPALDMR,DCBDMR,RBLDMR,otheramount,totalamount,airlinecommission,mobilecommission,YBLdmrcommission,DCBdmrcommission,RBLdmrcommission,NEPALdmrcommission,ICASH CASH BACK,otherscommission,totalcommission
INBLR03900232D,10,2015,17488.1,39467.05,7874220.28,0,0,0,0,12540.1564,7943715.5864,161,393.95,0,0,0,0,0,800.8964,1355.8464
INBLR03900232D,11,2015,8251.2,22566.27,7271118.14,2076072.998,4000,0,0,2141.19,9384149.798,112,129.73,10997.78,0,0,31.5,0,64.81,11335.82
INBLR03900232D,12,2015,12389.3,31875.46,8533509.07,4237194.3126,0,0,0,1990.46,12816958.6026,174.12,431.54,22672.986,0,0,0,0,125.54,23404.186
INBLR03900232D,1,2016,9248.78,37760.34,8403330.11,4988897.162,2000,0,0,795.97,13442032.362,92.47,315.66,25269.82,0,0,23.625,0,54.03,25755.605
INBLR03900232D,2,2016,36268.55,10413.39,8135420.32,5333264.8484,2750,0,0,9371.26,13527488.3684,600.52,56.61,27615.724,0,0,23.625,0,569.74,28866.219
INBLR03900232D,3,2016,5259,30541.05,7878003.75,4981093.537,0,0,0,4775.82,12899673.157,0,180.95,24316.07,0,0,0,0,324.18,24821.2
INBLR03900232D,4,2016,49491.14,41486.74,6294948.06,3972296.4164,0,0,0,3153.09,10361375.4464,1072.05,234.26,20511.204,0,0,0,0,196.91,22014.424
INBLR03900232D,5,2016,29923.7,31632.01,4749866.69,2994195.896,0,0,0,22989.5,7828607.796,717,167.99,15129.56,0,0,0,0,1410.5,17425.05
INBLR03900232D,6,2016,56736.61,19312.71,1438276.76,974570.207,0,0,0,2248.32,2491144.607,1630.94,117.29,4091.29,0,0,0,0,53.68,5893.2
INBLR03900232D,7,2016,15184.7427,9153.9,694245.02,723428.4,0,0,0,4661.44,1446673.5027,238.89,40.1,2948,0,0,0,480.21,343.56,4050.76
INBLR03900232D,8,2016,20271.25,37026.72,6747003.64,1936561.193,0,0,0,6981.2827,8747844.0857,455.53,190.28,9555.06,0,0,0,3879.72,703.5829,14784.1729
INBLR03900232D,9,2016,63117.36,41866.9,7579305.58,1752822.063,0,0,0,1988.13,9439100.033,1965.94,193.1,7650.46,0,0,0,4436.8014,131.87,14378.1714
INBLR0390036AW,1,2016,0,2540.41,864868.64,0,0,0,0,0,867409.05,0,59.59,0,0,0,0,0,0,59.59
INBLR0390036AW,2,2016,4997.7,20250.68,6406069.75,0,0,0,0,5569.0148,6436887.1448,147,414.32,0,0,0,0,0,393.5625,954.8825
INBLR0390036AW,3,2016,0,41214.6,7816605.29,0,0,0,0,4160.97,7861980.86,0,833.4,0,0,0,0,0,265.03,1098.43
INBLR0390036AW,4,2016,0,45093.64,9386399.12,0,0,0,0,10279.72,9441772.48,0,961.36,0,0,0,0,0,620.28,1581.64
INBLR0390036AW,5,2016,17899.39,49605.33,9597635.55,0,0,0,0,4204.5785,9669344.8485,147.35,976.67,0,0,0,0,0,313.005,1437.025
INBLR0390036AW,6,2016,0,42114.97,10526268.95,0,0,0,0,2421.93,10570805.85,0,792.03,0,0,0,0,337.23,165.07,1294.33
INBLR0390036AW,7,2016,4670.1,41096.44,11139976.98,0,0,0,0,10043.7061,11195787.2261,146.21,733.56,0,0,0,0,6008.73,467.5825,7356.0825
INBLR0390036AW,8,2016,0,43608.98,11571433,0,0,0,0,802.39,11615844.37,0,804.02,0,0,0,0,5840.26,47.61,6691.89
INBLR0390036AW,9,2016,21524.1,63297.33,11941129.79,0,0,0,0,1462.3242,12027413.5442,671.48,1161.67,0,0,0,0,6186.1034,211.485,8230.7384
INBOM03000054R,10,2015,10654.63,30860.66,13007766.53,17110,0,0,0,3193.3264,13069585.1464,313.75,408.34,100,0,0,0,0,10.5264,832.6164
INBOM03000054R,11,2015,0,25631.19,11664909.11,0,0,0,0,4789.0474,11695329.3474,0,434.81,0,0,0,0,0,10.503,445.313
INBOM03000054R,12,2015,0,16028.18,11165822.88,0,0,0,0,8491.8368,11190342.8968,0,298.82,0,0,0,0,0,20.9592,319.7792
INBOM03000054R,1,2016,14110.46,27298.03,12178269.15,5043.5,0,0,0,14846.6789,12239567.8189,243.94,424.97,35,0,0,0,0,23.5791,727.4891
INBOM03000054R,2,2016,3665.23,21724.07,13599341.84,0,0,0,0,23086.5368,13647817.6768,111.97,355.93,0,0,0,0,0,20.9592,488.8592
INBOM03000054R,3,2016,5466.99,21649.68,13989146.73,5,0,0,0,11952.8,14028221.2,104.46,288.32,0,0,0,0,0,0,392.78
INBOM03000054R,4,2016,0,21851.92,13584685.84,1716.82,0,0,0,721,13608975.58,0,273.08,10.2,0,0,0,0,0,283.28
INBOM03000054R,5,2016,9095.28,30138.89,13511544.87,0,0,0,0,6420,13557199.04,289.69,296.11,0,0,0,0,0,0,585.8
INBOM03000054R,6,2016,0,24062.4,14422018,0,0,0,0,3644,14449724.4,0,272.6,0,0,0,0,395.5,0,668.1
INBOM03000054R,7,2016,0,22865.19,14774457.21,0,0,0,0,2156,14799478.4,0,226.81,0,0,0,0,8348.39,0,8575.2
INBOM03000054R,8,2016,13406.42,22364.2,14132863.3,0,0,0,0,4204,14172837.92,416.4,234.8,0,0,0,0,7752.63,0,8403.83
INBOM03000054R,9,2016,0,16813.39,13763950.32,0,0,0,0,984,13781747.71,0,231.61,0,0,0,0,11502.5989,0,11734.2089
INBOM030000961,10,2015,0,20361.72,83251.26,17284598.954,0,0,0,145591.5584,17533803.4924,0,388.28,97428.94,0,0,0,0,401.6984,98218.9184
INBOM030000961,11,2015,33912.4,17997.33,208215.92,15019268.3108,0,0,0,155769.0531,15435163.0139,765.11,378.67,81252.988,0,0,0,0,212.6097,82609.3777
INBOM030000961,12,2015,32447.11,7955.66,161911.06,11538254.578,0,0,0,154183.479,11894751.887,639.94,155.34,64851.58,0,0,0,0,271.001,65917.861
INBOM030000961,1,2016,25737.84,2116.34,114934.13,15193464.757,0,0,0,106983.0885,15443236.1555,452.41,33.66,86690.27,0,0,0,0,301.9315,87478.2715
INBOM030000961,2,2016,21128.58,6417.89,6041,12424536.235,5000,0,0,38435.0562,12501558.7612,588.25,82.11,70050.85,0,0,28.875,0,85.3078,70835.3928
INBOM030000961,3,2016,23471.49,12753.39,0,13872995.181,2800,0,0,14645.73,13926665.791,770.58,176.61,77410.91,0,0,28.875,0,0,78386.975
INBOM030000961,4,2016,15116.6,13384.02,5032.5,14031364.5328,0,0,0,57402.91,14122300.5628,397.12,171.98,78754.408,0,0,0,0,30.19,79353.698
INBOM030000961,5,2016,81142.7008,12500.9,0,11742855.914,43000,0,0,25294.82,11904794.3348,1486.09,159.1,65454.54,0,0,86.625,0,482.88,67669.235
INBOM030000961,6,2016,15044.8,8597.84,0,13360999.5032,8000,0,0,1216,13393858.1432,212.84,83.16,75298.884,0,0,57.75,0,0,75652.634
INBOM030000961,7,2016,21170.8,15298.77,43973.69,12287034.6242,40000,0,0,20936,12428413.8842,456.04,248.23,68697.764,0,0,67.375,10,0,69479.409
INBOM030000961,8,2016,13697.33,8479.18,0,9032508.714,12500,0,0,8690.27,9075875.494,370.18,120.82,50801.88,0,0,57.75,0,29.73,51380.36
INBOM030000961,9,2016,29780.43,8865.98,0,9763948.4067,2500,0,0,4636,9809730.8167,539.55,75.02,55146.414,0,0,28.875,0,240,56029.859
INBOM03000271H,10,2015,5471.08,45547.61,69930.47,10694946.7946,0,0,0,2172.068,10818068.0226,164.36,801.39,57018.006,0,0,0,0,31.0357,58014.7917
INBOM03000271H,11,2015,0,40289.79,53780.17,11027093.085,0,0,0,0,11121163.045,0,779.21,59044.35,0,0,0,0,0,59823.56
INBOM03000271H,12,2015,0,39888.67,151983.93,7933944.8186,0,0,0,5145.2842,8130962.7028,0,734.33,44214.646,0,0,0,0,5.2398,44954.2158
INBOM03000271H,1,2016,0,37918.44,112689.41,10450048.3734,0,0,0,3837.9263,10604494.1497,0,741.56,55778.474,0,0,0,0,7.8597,56527.8937
INBOM03000271H,2,2016,0,43217.49,60371.97,12185021.7212,0,0,0,4066,12292677.1812,0,759.51,65092.532,0,0,0,0,0,65852.042
INBOM03000271H,3,2016,0,39056.83,97111.98,10570854.2672,0,0,0,4014,10711037.0772,0,637.17,56918.592,0,0,0,0,0,57555.762
INBOM03000271H,4,2016,0,47384.73,68118.18,12289714.0332,0,0,0,7740,12412956.9432,0,664.27,65353.852,0,0,0,0,0,66018.122
INBOM03000271H,5,2016,0,60829.11,81352.07,13257099.7304,0,0,0,2892,13402172.9104,0,720.89,69664.744,0,0,0,0,0,70385.634
INBOM03000271H,6,2016,0,35065.58,44270.97,8356793.365,0,0,0,7032,8443161.915,0,462.42,44959.398,0,0,0,0,0,45421.818
INBOM03000271H,7,2016,0,43915.83,413946.08,9160853.8,0,0,0,7654,9626369.71,0,573.17,48196,0,0,0,198,0,48967.17
INBOM03000271H,8,2016,7032.92,45908.86,66353.62,10363252.3188,0,0,0,4794,10487341.7188,207.46,571.14,54582.296,0,0,0,20,0,55380.896
INBOM03000271H,9,2016,0,37270.29,63496.58,9543005.5655,0,0,0,2018,9645790.4355,0,468.71,50121.51,0,0,0,46.669,0,50636.889
INBOM030002723,10,2015,49427.25,91541.7,3924193.03,3359770.02,0,0,0,1055.2632,7425987.2632,604.43,2335.3,17082.2,0,0,0,0,5.2632,20027.1932
INBOM030002723,11,2015,67557.95,104834.38,3706802.75,3825428.39,0,0,0,32636.9159,7737260.3859,1610.07,2618.62,19572.9,0,0,0,0,36.7605,23838.3505
INBOM030002723,12,2015,86120.36,86733.87,3954722.55,2950605.032,0,0,0,1767.9263,7079949.7383,1327.39,2189.13,14645.52,0,0,0,0,7.8597,18169.8997
INBOM030002723,1,2016,39180.71,101648.41,4169331.79,4657424.44,0,0,0,885.2842,8968470.6342,324.76,2604.59,23598.4,0,0,0,0,5.2398,26532.9898
INBOM030002723,2,2016,46052.17,80418.29,4319457.28,4883732.94,0,0,0,1145.2842,9330805.9642,544.4,2084.71,24093.4,0,0,0,0,5.2398,26727.7498
INBOM030002723,3,2016,34406.075,100329.95,4125139.51,5809180.36,0,0,0,1676,10070731.895,638.4,2486.05,28969.6,0,0,0,0,0,32094.05
INBOM030002723,4,2016,85335.22,89521.91,4031646.72,5404823.48,0,0,0,1984.8048,9613312.1348,1496.44,2240.09,28387.8,0,0,0,0,25.7725,32150.1025
INBOM030002723,5,2016,12825.08,90866.13,4058334.7,5178649.79,0,0,0,16748,9357423.7,105.47,2198.87,27226.9,0,0,0,0,0,29531.24
INBOM030002723,6,2016,67096.94,82642.4,4053247.97,4672582.608,0,0,0,8836,8884405.918,1806.4,1970.6,24318.36,0,0,0,54,0,28149.36
INBOM030002723,7,2016,25497.6,102751.58,4345043.45,5065710.39,0,0,0,8694,9547697.02,802.52,2521.42,26823.8,0,0,0,1016,0,31163.74
INBOM030002723,8,2016,21402.11,109740.53,4361140.78,4730633.0175,0,0,0,4754,9227670.4375,539.88,2558.47,24357.35,0,0,0,1068.1,0,28523.8
