User Id,F10_median,F10_avg,F10_min,F10_max,N10_median,N10_avg,N10_min,N10_max,L10_median,L10_avg,L10_min,L10_max,FiW_median,FiW_avg,FiW_min,FiW_max,SW_median,SW_avg,SW_min,SW_max,TW_median,TW_avg,TW_min,TW_max,FW_median,FW_avg,FW_min,FW_max
54,10777.195,17071.6538,175.58,102368.89,6561.755,14477.3816,87.42,143710.89,2589.43,5382.99,3.58,41955.81,17030.42,14346.1871428571,175.58,39358.89,1244.43,21885.5562857143,87.42,143710.89,3244.43,9271.2191428572,87.42,58905.16,2185.43,2617.7854285714,81.69,9861.83
26,89528.42,87071.9563333332,56300.11,104528.42,87664.125,87233.2441666666,70351.11,100862.77,88644.87,86441.1405084745,68656.11,100288.77,87795.595,86402.0883333333,56300.11,104528.42,89522.67,88144.3214285714,70501.11,100862.77,87664.125,86852.9521428571,70351.11,100862.77,87664.125,86277.1759523809,68656.11,100288.77
83,13152.28,23514.759,17.18,194223.54,1142.405,5013.6525,0.18,46725.54,2318.88,11890.9169491525,0,41266.54,20233.185,30922.8278571429,23.68,194223.54,3188.36,4915.2192857143,17.18,17627.54,26.63,5315.4207142857,0.18,46725.54,2218.88,9907.2585714286,0,41266.54
196,63065.74,63475.9,62040.74,66924.04,50848.74,50123.653,34446.87,62040.74,27106.83,28573.522,25908.79,34446.87,63090.74,64090.9685714286,63040.74,66924.04,62040.74,61862.1685714286,61415.74,62040.74,39059.74,41252.92,34446.87,61415.74,25908.79,28068.11,25908.79,33016.87
159,3805,20101.34,71.86,57021.86,1382.5,23908.24,101.86,106764.86,383.5,25376.4533333333,8.5,86753.86,5042.5,20332.5971428571,71.86,57021.86,2143.86,12588.8352380952,204.86,53607.86,432.5,34101.5323809524,8.5,106764.86,334.5,24998.5723809524,8.5,86753.86
216,11539.46,14275.3281666667,365.96,27718.6,5583.6,4758.97,518.6,12260.96,1617.96,3332.5916666667,518.6,27718.6,22897.28,16215.4435714286,365.96,27718.6,7518.6,7671.17,518.6,23317.96,3019.45,3824.7652380953,518.6,9260.96,1617.96,2572.2485714286,518.6,6060.96
264,2947.44,4574.8293333333,0,14955.44,90.44,418.2933333333,0,4105.44,61.44,451.46,0,12061.44,3655.44,5773.5352380952,215.44,14955.44,561.44,1268.4838095238,0,5105.44,61.44,669.6742857143,0,12061.44,61.44,50.6266666667,0,90.44
352,146100.33,264821.751,103875.92,682520.38,101006.92,96978.3733333333,16504.26,250246.38,100112.92,89385.7866666666,16504.26,200057.38,146100.33,291156.742380952,118875.92,682520.38,143041.38,150786.46,27746.38,450246.38,100112.92,87075.2876190476,16504.26,143041.38,100112.92,84842.4723809524,16504.26,138767.38
363,4795.94,7984.3093333333,1723.86,27464.24,2343.48,2938.508,38.1,8341.5,70.4,3598.5126666667,2.4,49149.4,7802.86,9048.780952381,1723.86,27464.24,4348.86,5033.9333333333,1112.54,9754,1042.57,1557.79,38.1,8341.5,70.4,90.2614285714,2.4,171.4
383,26556.65,27468.5526666667,274.67,70098.4,2698.195,11299.635,59.49,98105.29,50983.74,64423.1423333333,864.4,297455.28,26556.65,33300.4033333333,274.67,70098.4,7951.24,10803.1585714286,105.29,26556.65,2032.65,18654.5838095238,59.49,98105.29,50983.74,56177.4704761905,864.4,297058.91
